slr_select	z_init	c_flood	c_flood_nourishment	nourishment_frequency	rho_deposit	s_subsidence	fd	crit_year	growth_total	end_dist	slope_norm	slope_norm_10	est_time	est_crit_year	class	Policy Combined
mean	0.7	0.05	0.0	1	400	0.005	0.4	2089	-0.063	0.004	-0.021	-0.027	8.707	2089.0	1.0	No nourishment | Conservation
low	0.7	0.05	0.0	1	800	0.003	0.4	2101	-0.094	0.117	-0.014	-0.014	14.779	2116.0	2.0	No nourishment | Conservation
mean	0.7	0.05	0.0	1	800	0.003	0.4	2078	-0.277	0.001	-0.027	-0.03	10.358	2078.0	1.0	No nourishment | Conservation
low	0.7	0.05	0.0	1	800	0.005	0.4	2101	-0.199	0.012	-0.017	-0.016	1.314	2102.0	2.0	No nourishment | Conservation
mean	0.7	0.05	0.0	1	800	0.005	0.4	2074	-0.382	0.0	-0.03	-0.031	10.51	2074.0	1.0	No nourishment | Conservation
high	0.7	0.05	0.0	1	400	0.005	0.4	2068	-0.241	0.006	-0.037			2068.0	1.0	No nourishment | Conservation
high	0.7	0.05	0.0	1	800	0.003	0.4	2062	-0.5	0.019	-0.047			2062.0	1.0	No nourishment | Conservation
mean	0.7	0.05	0.0	1	1200	0.005	0.4	2070	-0.528	0.007	-0.034			2070.0	1.0	No nourishment | Conservation
high	0.7	0.05	0.0	1	1200	0.005	0.4	2058	-0.769	0.018	-0.059			2058.0	1.0	No nourishment | Conservation
high	0.7	0.05	0.0	1	800	0.003	0.6	2066	-0.31	0.013	-0.04			2066.0	1.0	No Nourishment | Marsh Restoration
high	0.7	0.05	0.0	1	800	0.005	0.6	2064	-0.402	0.009	-0.044			2064.0	1.0	No Nourishment | Marsh Restoration
high	0.7	0.05	0.0	1	1200	0.003	0.6	2062	-0.5	0.019	-0.047			2062.0	1.0	No Nourishment | Marsh Restoration
high	0.7	0.05	0.0	1	1200	0.005	0.6	2060	-0.605	0.02	-0.053			2060.0	1.0	No Nourishment | Marsh Restoration
high	0.7	0.05	0.3	10	1200	0.003	0.4	2062	-0.528	0.019	-0.048			2062.0	1.0	Nourishment (10 years) | Conservation
mean	0.7	0.05	0.3	10	800	0.005	0.4	2079	-0.234	0.006	-0.025	-0.028	10.287	2079.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.05	0.3	10	1200	0.005	0.4	2059	-0.634	0.018	-0.054			2059.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.05	0.5	5	1200	0.003	0.4	2068	-0.253	0.01	-0.036			2068.0	1.0	Nourishment (5 years) | Conservation
high	0.7	0.05	0.5	5	1200	0.005	0.4	2064	-0.34	0.028	-0.04			2064.0	1.0	Nourishment (5 years) | Conservation
high	0.7	0.05	0.5	10	800	0.003	0.4	2067	-0.252	0.016	-0.035			2067.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.05	0.5	10	800	0.005	0.4	2065	-0.34	0.022	-0.039			2065.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.1	0.3	5	1200	0.003	0.4	2070	-0.178	0.009	-0.034			2070.0	1.0	Nourishment (5 years) | Conservation
high	0.7	0.1	0.3	5	1200	0.005	0.4	2067	-0.261	0.02	-0.037			2067.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.05	0.3	1	800	0.003	0.4	2101	0.532	0.743	0.002	-0.008	158.035	2259.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.05	0.3	1	800	0.003	0.4	2101	0.45	0.342	-0.008	-0.024	28.651	2130.0	3.0	Nourishment (annual) | Conservation
high	0.7	0.05	0.3	1	800	0.003	0.4	2095	0.352	0.007	-0.021	-0.045	8.769	2095.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.05	0.3	1	800	0.005	0.4	2101	0.488	0.699	0.001	-0.009	140.598	2242.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.05	0.3	1	800	0.005	0.4	2101	0.408	0.3	-0.009	-0.025	24.741	2126.0	2.0	Nourishment (annual) | Conservation
high	0.7	0.05	0.3	1	800	0.005	0.4	2093	0.313	0.009	-0.022	-0.045	8.495	2093.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.05	0.3	1	1200	0.003	0.4	2101	0.414	0.624	0.0	-0.007	146.038	2247.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.05	0.3	1	1200	0.003	0.4	2101	0.312	0.204	-0.011	-0.024	17.364	2118.0	2.0	Nourishment (annual) | Conservation
high	0.7	0.05	0.3	1	1200	0.003	0.4	2085	0.188	0.013	-0.023	-0.03	14.525	2085.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.05	0.3	1	1200	0.005	0.4	2101	0.359	0.569	-0.001	-0.008	124.447	2225.0	4.0	Nourishment (annual) | Conservation
high	0.7	0.05	0.3	1	1200	0.005	0.4	2082	0.135	0.013	-0.024	-0.029	14.976	2082.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.05	0.3	5	400	0.003	0.4	2101	0.405	0.615	0.0	-0.009	112.929	2214.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.05	0.3	5	400	0.003	0.4	2101	0.3	0.192	-0.01	-0.027	14.418	2115.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.05	0.3	5	400	0.003	0.4	2085	0.173	0.008	-0.022	-0.036	12.018	2085.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.05	0.3	5	400	0.005	0.4	2101	0.348	0.559	-0.001	-0.01	93.621	2195.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.05	0.3	5	400	0.005	0.4	2101	0.245	0.138	-0.012	-0.028	9.946	2111.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.05	0.3	5	400	0.005	0.4	2083	0.118	0.01	-0.022	-0.024	16.121	2083.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.05	0.0	1	400	0.003	0.4	2101	0.164	0.374	-0.007	-0.009	73.462	2174.0	4.0	No nourishment | Conservation
mean	0.7	0.05	0.0	1	400	0.003	0.4	2094	0.018	0.009	-0.019	-0.024	9.876	2094.0	1.0	No nourishment | Conservation
low	0.7	0.05	0.0	1	1200	0.003	0.4	2100	-0.214	0.007	-0.017	-0.019	9.127	2100.0	1.0	No nourishment | Conservation
mean	0.7	0.05	0.0	1	1200	0.003	0.4	2073	-0.413	0.011	-0.031	-0.031	11.399	2073.0	1.0	No nourishment | Conservation
low	0.7	0.05	0.0	1	1200	0.005	0.4	2091	-0.329	0.001	-0.02	-0.022	9.624	2091.0	1.0	No nourishment | Conservation
high	0.7	0.05	0.0	1	800	0.005	0.4	2060	-0.605	0.02	-0.053			2060.0	1.0	No nourishment | Conservation
high	0.7	0.05	0.0	1	1200	0.003	0.4	2060	-0.655	0.014	-0.054			2060.0	1.0	No nourishment | Conservation
low	0.7	0.05	0.3	5	800	0.003	0.4	2101	0.144	0.355	-0.006	-0.011	58.015	2159.0	3.0	Nourishment (5 years) | Conservation
mean	0.7	0.05	0.3	5	800	0.003	0.4	2093	-0.004	0.018	-0.019	-0.023	10.744	2093.0	1.0	Nourishment (5 years) | Conservation
high	0.7	0.05	0.3	10	1200	0.005	0.6	2064	-0.437	0.002	-0.045			2064.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.05	0.3	5	800	0.005	0.4	2101	0.062	0.272	-0.009	-0.012	38.655	2140.0	3.0	Nourishment (5 years) | Conservation
mean	0.7	0.05	0.3	5	800	0.005	0.4	2088	-0.087	0.012	-0.021	-0.025	9.488	2088.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.05	0.3	5	1200	0.005	0.4	2101	-0.109	0.102	-0.014	-0.015	11.627	2113.0	2.0	Nourishment (5 years) | Conservation
mean	0.7	0.05	0.3	5	1200	0.005	0.4	2078	-0.28	0.001	-0.027	-0.028	10.438	2078.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.05	0.3	10	400	0.003	0.4	2101	0.295	0.506	-0.002	-0.014	63.283	2164.0	3.0	Nourishment (10 years) | Conservation
mean	0.7	0.05	0.3	10	400	0.003	0.4	2101	0.172	0.064	-0.014	-0.034	3.8	2105.0	2.0	Nourishment (10 years) | Conservation
