year	elevation	dz_dt	dslr_dt	msl	norm_diff
2041	0.72636402	0.026364020000000002	0.0028	0.112	1.0
2042	0.73866086298635	0.012296842986349997	0.0028	0.1148	1.0154580064541376
2043	0.7508502430676192	0.012189380081269139	0.0027	0.1175	1.0309038655415061
2044	0.7628572939550328	0.012007050887413617	0.0027	0.1202	1.0460529474936258
2045	0.7749603702553713	0.012103076300338602	0.0028	0.123	1.0611955600124032
2046	0.7865007856004095	0.011540415345038153	0.0032	0.1262	1.074771249788374
2047	0.7961029732571135	0.009602187656704092	0.0047	0.1309	1.0827505381208904
2048	0.8050249074969864	0.008921934239872838	0.0053	0.1362	1.0886459586239872
2049	0.8184340089749003	0.013409101477913873	0.0014	0.1376	1.1081931669352973
2050	0.8279710006211728	0.009536991646272551	0.005	0.1426	1.1155780259090902
2051	0.8358682225480314	0.007897221926858648	0.003	0.1456	1.1235492315256863
2052	0.8469470508001706	0.011078828252139192	0.0027	0.1483	1.137187445970828
2053	0.8552255572720736	0.008278506471902968	0.0025	0.1508	1.146593117989028
2054	0.8610134628050701	0.005787905532996441	0.0046	0.1554	1.1485266712153326
2055	0.8681367512772382	0.007123288472168108	0.0031	0.1585	1.1550753757963206
2056	0.87450785002065	0.006371098743411819	0.0036	0.1621	1.1595858917985626
2057	0.880494039462033	0.005986189441382977	0.0043	0.1664	1.1623305014867782
2058	0.8884830785429703	0.007989039080937274	0.0022	0.1686	1.1717533174272972
2059	0.895382810737155	0.006899732194184715	0.0031	0.1717	1.177938139569363
2060	0.9033990933488324	0.00801628261167742	0.0022	0.1739	1.1874052997908835
2061	0.9112411481131749	0.007842054764342469	0.0023	0.1762	1.1964260994860585
2062	0.9204253657066971	0.009184217593522179	0.0003	0.1765	1.210886935902752
2063	0.9263228683792906	0.005897502672593513	0.0034	0.1799	1.2149521197209605
2064	0.9314652609907853	0.0051423926114947185	0.0046	0.1845	1.2158349718962795
2065	0.9393130736233907	0.007847812632605415	0.002	0.1865	1.22535345351668
2066	0.9472146232296457	0.007901549606254946	0.0015	0.188	1.2357732525248561
2067	0.9554433456582239	0.008228722428578203	0.0011	0.1891	1.2473766703626683
2068	0.9582268500102922	0.0027835043520683415	0.004	0.1931	1.245396581020959
2069	0.963860370541377	0.0056335205310848405	0.0012	0.1943	1.252613020113673
2070	0.9686105407310631	0.0047501701896861875	0.0018	0.1961	1.257415010617098
2071	0.9749991010512318	0.006388560320168623	0.0016	0.1977	1.2652093477922612
2072	0.9800401507848042	0.005041049733572426	0.0028	0.2005	1.2688571032932627
2073	0.985939491430893	0.005899340646088778	0.002	0.2025	1.275204058061364
2074	0.9929365686509833	0.006997077220090402	0.0009	0.2034	1.285128267522866
2075	0.9983184541392665	0.005381885488283148	0.0028	0.2062	1.2893308012068585
2076	1.0032135006100384	0.004895046470772058	0.0033	0.2095	1.2919270575285942
2077	1.0097199006965991	0.006506400086560645	0.0014	0.2109	1.3002387423283661
2078	1.017806163997055	0.008086263300455946	-0.0001	0.2108	1.3135635189004966
2079	1.0233994121673895	0.00559324817033448	0.003	0.2138	1.3177845476162318
2080	1.0300322610925599	0.00663284892517044	0.0018	0.2156	1.3256509733310227
2081	1.0325637240451728	0.0025314629526129433	0.0026	0.2182	1.325539415614171
2082	1.0360751872991687	0.003511463253995786	0.0046	0.2228	1.3237676049114475
2083	1.0401438494464703	0.004068662147301568	0.0013	0.2241	1.328274154867452
2084	1.0407505844922127	0.0006067350457423341	0.0045	0.2286	1.3219370894998257
2085	1.0442684962284576	0.003517911736245025	0.0015	0.2301	1.3252216433971145
2086	1.0504068708731396	0.006138374644681863	-0.0013	0.2288	1.3373290819881338
2087	1.0529174803978536	0.0025106095247139438	0.0027	0.2315	1.3370208112087254
2088	1.0554991247381413	0.002581644340287789	0.0027	0.2342	1.336828163762164
2089	1.054947719513529	-0.0005514052246123485	0.0058	0.24	1.3264899847382485
2090	1.0562847452970285	0.0013370257834995675	0.0043	0.2443	1.32166715312695
2091	1.0610777955556512	0.004793050258622554	0.0009	0.2452	1.3280038690346014
2092	1.0641711114095154	0.003093315853864087	0.0022	0.2474	1.3294579187913955
2093	1.0655094251347739	0.001338313725258515	0.0039	0.2513	1.3252882633569163
2094	1.0698471664666285	0.004337741331854704	0.0013	0.2526	1.330232793363499
2095	1.0713917210121735	0.001544554545545058	0.0044	0.257	1.325584986262987
2096	1.0745011801592474	0.0031094591470739404	0.0026	0.2596	1.326414232655173
2097	1.0750685449674535	0.0005673648082061297	0.0053	0.2649	1.318710924782759
2098	1.0735111753807032	-0.0015573695867504315	0.0052	0.2701	1.3077119577749738
2099	1.0721871417379725	-0.0013240336427307697	0.0052	0.2753	1.2970927915634975
2100	1.0706845477342257	-0.0015025940037467038	0.0053	0.2806	1.286020212795381
