year	elevation	dz_dt	dslr_dt	msl	norm_diff
2041	0.72386011	0.023860109999999997	0.0084	0.2126	1.0
2042	0.7323341247673	0.0084740147673	0.0084	0.221	1.0001447692981564
2043	0.7406867035365018	0.008352578769201858	0.0084	0.2294	1.0000520156687012
2044	0.7496434684829463	0.008956764946444462	0.0085	0.2379	1.0009454257695682
2045	0.7587687456970597	0.009125277214113433	0.0084	0.2463	1.0023640328541568
2046	0.7616979885392825	0.0029292428422228746	0.0116	0.2579	0.9854044520298729
2047	0.7689965507904831	0.007298562251200671	0.0069	0.2648	0.9861840204792882
2048	0.7755790559209678	0.006582505130484588	0.0077	0.2725	0.9839982546672138
2049	0.7825716706215541	0.006992614700586361	0.0074	0.2799	0.9832014287630503
2050	0.790321157267988	0.00774948664643394	0.0065	0.2864	0.985645364094586
2051	0.7984323585137453	0.008111201245757234	0.0061	0.2925	0.9895791762704611
2052	0.8056353040915976	0.007202945577852269	0.0074	0.2999	0.9891937473698028
2053	0.8137231508556908	0.00808784676409329	0.0064	0.3063	0.9924950938489819
2054	0.8207559887543825	0.007032837898691733	0.0073	0.3136	0.9919725377252345
2055	0.8275958208786304	0.00683983212424787	0.0072	0.3208	0.991268066813643
2056	0.8340156392186862	0.0064198183400558315	0.0079	0.3287	0.9883729032149334
2057	0.838270097008715	0.004254457790028843	0.0103	0.339	0.9765481156132346
2058	0.8444629226018286	0.0061928255931136	0.0086	0.3476	0.9718397991226593
2059	0.8505473696882324	0.0060844470864037424	0.0086	0.3562	0.9669194995248749
2060	0.8529372201764948	0.002389850488262382	0.0096	0.3658	0.9528167964766404
2061	0.8548136615084698	0.0018764413319750138	0.0102	0.376	0.9365363190734163
2062	0.8582911616838201	0.003477500175350265	0.0088	0.3848	0.9261257673394864
2063	0.8623633056495928	0.004072143965772762	0.0088	0.3936	0.9168783100437718
2064	0.8648384585136178	0.0024751528640249622	0.0105	0.4041	0.9011820979219715
2065	0.8676413001047488	0.0028028415911309787	0.0099	0.414	0.8873003999955109
2066	0.8696718422808587	0.0020305421761098925	0.0107	0.4247	0.8703433606053458
2067	0.873110457400604	0.0034386151197453047	0.0094	0.4341	0.8586831806623914
2068	0.8762353267472845	0.0031248693466805104	0.0104	0.4445	0.8444533776501448
2069	0.8772257207529779	0.000990394005693371	0.01	0.4545	0.8268310249218894
2070	0.8781099215871434	0.0008842008341654844	0.0101	0.4646	0.8088053683420431
2071	0.8795232981260382	0.0014133765388948893	0.011	0.4756	0.7900543974104263
2072	0.8803994167967034	0.0008761186706651267	0.0118	0.4874	0.768687814890748
2073	0.8813798483100079	0.0009804315133045169	0.0118	0.4992	0.7475252632363749
2074	0.8847620266445495	0.003382178334541523	0.0101	0.5093	0.7343855295977415
2075	0.8876958664483814	0.00293383980383183	0.0108	0.5201	0.7189997014403909
2076	0.887119806560645	-0.000576059887736301	0.0114	0.5315	0.6955751086480131
2077	0.8870595540664127	-6.025249423236099e-05	0.0108	0.5423	0.6743329810464046
2078	0.8874072265295345	0.0003476724631218523	0.0106	0.5529	0.654279925201938
2079	0.8869619003913364	-0.00044532613819814153	0.0117	0.5646	0.630524255826132
2080	0.8869886627696016	2.6762378265258145e-05	0.0113	0.5759	0.6084743493279805
2081	0.8880898014039416	0.0011011386343398877	0.0104	0.5863	0.5902862271103873
2082	0.8902152835019235	0.0021254820979819374	0.0099	0.5962	0.5750796468394993
2083	0.8910485868744417	0.0008333033725181635	0.0113	0.6075	0.5546072954419261
2084	0.891804981751066	0.0007563948766244099	0.0114	0.6189	0.5337889195991959
2085	0.89197275593097	0.0001677741799039397	0.0119	0.6308	0.5108412544271643
2086	0.893950849394778	0.001978093463807954	0.0105	0.6413	0.49417281820554715
2087	0.8963340353755691	0.002383185980791085	0.0104	0.6517	0.47849231847086443
2088	0.8986672830196494	0.0023332476440802797	0.0108	0.6625	0.4619317611531426
2089	0.9010087607324564	0.002341477712806999	0.0108	0.6733	0.44538730145102934
2090	0.8992643366476607	-0.0017444240847956675	0.0123	0.6856	0.4179170885200896
2091	0.8983010075361038	-0.0009633291115569587	0.0117	0.6973	0.39314823043030633
2092	0.8968024724302902	-0.0014985351058135945	0.0126	0.7099	0.36557217896442235
2093	0.8967120114888383	-9.046094145193258e-05	0.0119	0.7218	0.34211941840883753
2094	0.8965946329506403	-0.00011737853819796494	0.0121	0.7339	0.31822281803022023
2095	0.8955311228964199	-0.00106351005422042	0.0129	0.7468	0.2909108690220715
2096	0.9005086856597925	0.004977562763372571	0.0068	0.7536	0.2873462701007369
2097	0.8991442082414232	-0.001364477418369289	0.0134	0.767	0.25846766774240054
2098	0.898466960806112	-0.0006772474353111675	0.0135	0.7805	0.230737658774341
2099	0.8953865550929477	-0.003080405713164247	0.0135	0.794	0.19830718866947727
2100	0.8925240392468538	-0.002862515846094008	0.0134	0.8074	0.16649849573997422
