year	elevation	dz_dt	dslr_dt	msl	norm_diff
2041	0.709494085	0.009494085	0.0111	0.3006	1.0
2042	0.7089571017177	-0.0005369832822999993	0.0111	0.3117	0.9715403481997056
2043	0.7086009969707575	-0.00035610474694249775	0.011	0.3227	0.943767618870685
2044	0.7088976979784646	0.00029670100770706883	0.011	0.3337	0.9175914050663379
2045	0.7094067363204647	0.0005090383420001438	0.011	0.3447	0.8919344879260473
2046	0.7033175394546543	-0.006089196865810488	0.0158	0.3605	0.8384018063128847
2047	0.7034403516435022	0.00012281218884793764	0.0095	0.37	0.8154687579877858
2048	0.7018990126550243	-0.0015413389884778059	0.0114	0.3814	0.7838191463567498
2049	0.6986442643638208	-0.003254748291203496	0.0134	0.3948	0.7430879425996607
2050	0.6959131343315426	-0.0027311300322781554	0.013	0.4078	0.7046155591405597
2051	0.6959179974240176	4.863092475030587e-06	0.0104	0.4182	0.6791929930314781
2052	0.6974118236048031	0.0014938261807854976	0.0093	0.4275	0.6601020496659988
2053	0.6970969506797885	-0.0003148729250146195	0.0112	0.4387	0.6319410335314303
2054	0.6963503101020685	-0.0007466405777200075	0.0117	0.4504	0.6015012667695314
2055	0.696446630707396	9.632060532751337e-05	0.0108	0.4612	0.5753241226451001
2056	0.6957792664220865	-0.0006673642853094923	0.0119	0.4731	0.5445891114372234
2057	0.6918129550992467	-0.0039663113228398765	0.0155	0.4886	0.4969818898193323
2058	0.6905645450235061	-0.0012484100757405763	0.0131	0.5017	0.4618911154547663
2059	0.6915437803229411	0.0009792352994350507	0.0109	0.5126	0.43762868402202765
2060	0.6896703158408758	-0.0018734644820652792	0.0121	0.5247	0.4034548845109259
2061	0.6866381297977463	-0.00303218604312945	0.0134	0.5381	0.36326798368273355
2062	0.6834442125435918	-0.003193917254154475	0.0138	0.5519	0.32170730115499674
2063	0.6818034750716572	-0.0016407374719345541	0.0128	0.5647	0.286390728962629
2064	0.6787805878578343	-0.003022887213822831	0.0144	0.5791	0.2437809484522976
2065	0.6751865462507097	-0.0035940416071246033	0.0149	0.594	0.19855153016143473
2066	0.6711157106238893	-0.004070835626820429	0.0155	0.6095	0.15068868170076186
2067	0.6700998221969428	-0.0010158884269465896	0.0126	0.6221	0.11738937773321607
2068	0.6694108738259031	-0.0006889483710396018	0.0129	0.635	0.08415595893470343
2069	0.6664313205105326	-0.002979553315370585	0.0136	0.6486	0.043608653596768465
2070	0.6634647694022453	-0.0029665511082872294	0.0136	0.6622	0.003093146730761076
2071	0.6599074790436695	-0.003557290358575784	0.0149	0.6771	-0.042046391931373876
2072	0.6556682835788469	-0.004239195464822645	0.0158	0.6929	-0.09105467109203373
2073	0.6511828166479361	-0.004485466930910786	0.0162	0.7091	-0.1416434853834187
2074	0.6478647739907929	-0.00331804265714318	0.0158	0.7249	-0.18839897380566678
2075	0.6448276003701382	-0.0030371736206546486	0.0158	0.7407	-0.23446756298727536
2076	0.6397776283750575	-0.005049971995080742	0.016	0.7567	-0.2859478185529208
2077	0.6340427303766407	-0.005734897998416715	0.0167	0.7734	-0.34081507836768843
2078	0.6282511509667197	-0.00579157940992105	0.0171	0.7905	-0.39679920787624084
2079	0.6224089873246622	-0.005842163642057528	0.0175	0.808	-0.4538852956880945
2080	0.6160711384876552	-0.006337848837007014	0.0182	0.8262	-0.5138955764359978
2081	0.6112648510188367	-0.004806287468818532	0.0169	0.8431	-0.5669809309693568
2082	0.6075656189810003	-0.003699232037836361	0.0163	0.8594	-0.6158914747299409
2083	0.6037270962870745	-0.003838522693925702	0.0166	0.876	-0.6658763569860039
2084	0.6003217283741462	-0.0034053679129283786	0.0163	0.8923	-0.7140682204435747
2085	0.5965377638264125	-0.0037839645477337073	0.0167	0.909	-0.7641642362559181
2086	0.5942296257703626	-0.0023081380560499446	0.0156	0.9246	-0.8079607564624891
2087	0.5923654231057845	-0.0018642026645781032	0.0154	0.94	-0.850182454691697
2088	0.5909301424011745	-0.001435280704610057	0.0153	0.9553	-0.891110610217865
2089	0.5888810241844793	-0.0020491182166952272	0.016	0.9713	-0.9352519144793223
2090	0.584750956080306	-0.004130068104173275	0.0165	0.9878	-0.9857052442313856
2091	0.5793009432804059	-0.005450012799900093	0.018	1.0058	-1.0430550902187643
2092	0.5741104431459015	-0.005190500134504417	0.018	1.0238	-1.099770266557166
2093	0.5691689557307678	-0.004941487415133759	0.0184	1.0422	-1.1568547005741896
2094	0.5637188329802276	-0.005450122750540156	0.0192	1.0614	-1.2171395607734756
2095	0.5567522997198198	-0.00696653326040787	0.0207	1.0821	-1.2848014181476366
2096	0.5597524445099191	0.003000144790099404	0.0107	1.0928	-1.30363234647936
2097	0.5522358082419463	-0.00751663626797288	0.0215	1.1143	-1.3745960442495855
2098	0.5455279903957282	-0.006707817846218119	0.0215	1.1358	-1.4435816786253381
2099	0.5373427381320875	-0.008185252263640658	0.0215	1.1573	-1.5161805577791923
2100	0.529236506958726	-0.008106231173361558	0.0215	1.1788	-1.5885861812876898
