year	elevation	dz_dt	dslr_dt	msl	norm_diff
2041	0.71564268	0.01564268	0.0028	0.112	1.0
2042	0.7221158256606	0.0064731456606000005	0.0028	0.1148	1.0060849667896246
2043	0.7286605710166334	0.006544745356033451	0.0027	0.1175	1.0124542072085319
2044	0.7351905366730996	0.006529965656466221	0.0027	0.1202	1.0187989634415837
2045	0.741864730971391	0.006674194298291387	0.0028	0.123	1.0252169892483267
2046	0.7481385288045552	0.006273797833164164	0.0032	0.1262	1.0303090709300993
2047	0.7527169729236789	0.0045784441191236945	0.0047	0.1309	1.0301077003429893
2048	0.7567228133532644	0.004005840429585486	0.0053	0.1362	1.0279637837292492
2049	0.7651451668427393	0.008422353489474826	0.0014	0.1376	1.039597078925465
2050	0.7698804230242899	0.004735256181550737	0.005	0.1426	1.0391585018877225
2051	0.774276261188007	0.004395838163717073	0.003	0.1456	1.0414708601916733
2052	0.7809628819761467	0.0066866207881398024	0.0027	0.1483	1.048075132752619
2053	0.7859458017164956	0.004982919740348955	0.0025	0.1508	1.0521883603665925
2054	0.7886254912929381	0.0026796895764425095	0.0046	0.1554	1.04900715650679
2055	0.7927677838595544	0.004142292566616194	0.0031	0.1585	1.0507338279320382
2056	0.7963037201283282	0.0035359362687738035	0.0036	0.1621	1.050627699367328
2057	0.7994190060233719	0.0031152858950437034	0.0043	0.1664	1.0486650911154458
2058	0.8046129306544103	0.005193924631038405	0.0022	0.1686	1.0536248541180195
2059	0.8088404670627997	0.004227536408389407	0.0031	0.1717	1.0554927412733635
2060	0.814188659686514	0.005348192623714298	0.0022	0.1739	1.0607080660474737
2061	0.8194576765546684	0.005269016868154363	0.0023	0.1762	1.065626566621612
2062	0.8262992050982927	0.006841528543624286	0.0003	0.1765	1.0764633228026432
2063	0.8299539878134995	0.0036547827152067576	0.0034	0.1799	1.0768853981853959
2064	0.8327648025265593	0.002810814713059753	0.0046	0.1845	1.0739214174295284
2065	0.8383082764595986	0.005543473933039299	0.002	0.1865	1.0797915688459911
2066	0.8440784268890243	0.005770150429425729	0.0015	0.188	1.0868655392110849
2067	0.8502238838208905	0.0061454569318662115	0.0011	0.1891	1.095223889438849
2068	0.8517753865931044	0.0015515027722138313	0.004	0.1931	1.0911676864748934
2069	0.8561817410616279	0.004406354468523571	0.0012	0.1943	1.0964793626945462
2070	0.8597970522149457	0.0036153111533177807	0.0018	0.1961	1.0994866238002683
2071	0.8646195950187637	0.004822542803817997	0.0016	0.1977	1.1048251177646413
2072	0.8681943947976737	0.0035747997789099513	0.0028	0.2005	1.106108658184464
2073	0.8726136526978184	0.004419257900144783	0.002	0.2025	1.1101164230100802
2074	0.8781502605438647	0.00553660784604631	0.0009	0.2034	1.1177974700925135
2075	0.8820403142197729	0.003890053675908235	0.0028	0.2062	1.119603263009456
2076	0.8854763347783474	0.0034360205585745427	0.0033	0.2095	1.1198285959143037
2077	0.8906285150286691	0.005152180250321738	0.0014	0.2109	1.1260444921301276
2078	0.8973107196005493	0.006682204571880145	-0.0001	0.2108	1.1372799544269292
2079	0.9014005708532025	0.004089851252653201	0.003	0.2138	1.1390854120076508
2080	0.9066038956701882	0.005203324816985765	0.0018	0.2156	1.1447233911130805
2081	0.9087317415745412	0.002127845904353022	0.0026	0.2182	1.143941216307868
2082	0.9109341932725455	0.00220245169800432	0.0046	0.2228	1.1399694158016553
2083	0.9145440655487709	0.0036098722762252853	0.0013	0.2241	1.1437959713994559
2084	0.9148104159649906	0.0002663504162196981	0.0045	0.2286	1.136782468670026
2085	0.918038859416068	0.003228443451077434	0.0015	0.2301	1.1396458239435092
2086	0.9239148433981708	0.005875983982102734	-0.0013	0.2288	1.1515336248228352
2087	0.9260678058073312	0.0021529624091604412	0.0027	0.2315	1.1506273973326921
2088	0.9282781198575818	0.0022103140502506644	0.0027	0.2342	1.1498161790971801
2089	0.9274147734895718	-0.0008633463680100251	0.0058	0.24	1.1387776183910188
2090	0.9283313321222132	0.0009165586326413742	0.0043	0.2443	1.1331725783906024
2091	0.9326744835060481	0.004343151383834844	0.0009	0.2452	1.138876534551944
2092	0.9354166881949327	0.002742204688884653	0.0022	0.2474	1.1397747558123836
2093	0.9364322976082496	0.0010156094133168636	0.0039	0.2513	1.134996447912281
2094	0.9403635966372714	0.003931299029021815	0.0013	0.2526	1.1393554820167313
2095	0.9414004954216685	0.0010368987843970751	0.0044	0.257	1.133784137698263
2096	0.9440489157485604	0.0026484203268919227	0.0026	0.2596	1.1338643512558795
2097	0.9441114743589359	6.255861037553104e-05	0.0053	0.2649	1.1251879578146065
2098	0.9426696604115008	-0.001441813947435171	0.0052	0.2701	1.1141850679138539
2099	0.9413929181440667	-0.0012767422674341538	0.0052	0.2753	1.103455637272147
2100	0.9399413945124943	-0.0014515236315724342	0.0053	0.2806	1.0922710013024497
