year	elevation	dz_dt	dslr_dt	msl	norm_diff
2041	0.71370888	0.013708880000000005	0.0048	0.1952	1.0
2042	0.7182585577396	0.0045496777395999995	0.0048	0.2	0.9995172266665906
2043	0.7227199055031127	0.004461347763512698	0.0049	0.2049	0.9986712387705159
2044	0.7273039705141455	0.004584065011032844	0.0048	0.2097	0.9982547849790838
2045	0.7321707056883825	0.004866735174237016	0.0048	0.2145	0.9983834909218575
2046	0.735594562745703	0.003423857057320564	0.0063	0.2208	0.9928365407082383
2047	0.7403181101468775	0.004723547401174547	0.0048	0.2256	0.9926890936696736
2048	0.7435785959635361	0.003260485816658594	0.0063	0.2319	0.9868270644921958
2049	0.7493183447668931	0.0057397488033568795	0.0044	0.2363	0.9894109137858798
2050	0.7540695253929096	0.004751180626016566	0.0053	0.2416	0.9883524567465646
2051	0.7572043537335097	0.00313482834060005	0.0046	0.2462	0.98552671601981
2052	0.762851084357475	0.00564673062396523	0.0041	0.2503	0.9885097519592626
2053	0.766523504039007	0.003672419681532044	0.0042	0.2545	0.9874922567170058
2054	0.7684063595350444	0.0018828554960374135	0.0058	0.2603	0.9799376233152353
2055	0.7707905331886087	0.0023841736535642768	0.0053	0.2656	0.9743141394002909
2056	0.7729960701581337	0.00220553696952498	0.0054	0.271	0.9681532747484164
2057	0.7745174764405837	0.0015214062824499776	0.0064	0.2774	0.9587443833952926
2058	0.7781446812808821	0.0036272048402984734	0.0043	0.2817	0.957446825753268
2059	0.7814261288681142	0.0032814475872321312	0.0046	0.2863	0.9549038559727546
2060	0.7845808743310868	0.0031547454629726056	0.005	0.2913	0.9513450846417266
2061	0.7882946350083957	0.0037137606773088717	0.0045	0.2958	0.9498287377612429
2062	0.7920305295571289	0.0037358945487332615	0.0041	0.2999	0.9491265213377426
2063	0.7945983899877845	0.002567860430655564	0.0052	0.3051	0.9440501578059466
2064	0.7977223500994782	0.003123960111693637	0.005	0.3101	0.9404320136223671
2065	0.8014250722979718	0.003702722198493525	0.0046	0.3147	0.9387015171234325
2066	0.8046010882266509	0.003176015928679071	0.0049	0.3196	0.9353766288952485
2067	0.8089792556906454	0.00437816746399458	0.0037	0.3233	0.9366845476024355
2068	0.809972136975869	0.000992881285223566	0.0054	0.3287	0.9281849463713506
2069	0.8118737418030619	0.0019016048271929139	0.0046	0.3333	0.9229808018004667
2070	0.8141058323017957	0.002232090498733773	0.0041	0.3374	0.9193783379405107
2071	0.81755316591334	0.0034473336115443984	0.0039	0.3413	0.9185053222489461
2072	0.819494226070496	0.0019410601571559702	0.0054	0.3467	0.911834385691709
2073	0.821810637218639	0.002316411148142955	0.0051	0.3518	0.9064659359713165
2074	0.8250841293563438	0.0032734921377047866	0.0042	0.356	0.9046790661643902
2075	0.828340753437129	0.0032566240807852054	0.0045	0.3605	0.9022810823165247
2076	0.8309634674112003	0.0026227139740713184	0.0052	0.3657	0.8973105097278186
2077	0.8336421655954341	0.002678698184233881	0.005	0.3707	0.8928336301500452
2078	0.8372872167382929	0.003645051142858774	0.0041	0.3748	0.8919562124727601
2079	0.8408905520572181	0.0036033353189251615	0.0047	0.3795	0.8898411769866277
2080	0.8448282431424172	0.003937691085199099	0.0043	0.3838	0.889142425376432
2081	0.8459018402484344	0.001073597106017136	0.0049	0.3887	0.8817627969041426
2082	0.8486428073727912	0.002740967124356774	0.0053	0.394	0.8768274274739349
2083	0.8504324937798421	0.0017896864070509242	0.0044	0.3984	0.8717931576790781
2084	0.8504788385264462	4.6344746604088044e-05	0.006	0.4044	0.8603108948229513
2085	0.85212762461909	0.0016487860926437453	0.0044	0.4088	0.8550048836561681
2086	0.856255654032863	0.004128029413772974	0.0018	0.4106	0.8594947381284251
2087	0.8576866574045283	0.0014310033716653705	0.0048	0.4154	0.8529972667093539
2088	0.8588870709207889	0.001200413516260569	0.0051	0.4205	0.8454764958331841
2089	0.8589030839812026	1.601306041377798e-05	0.0063	0.4268	0.8333571528827098
2090	0.85981653207028	0.0009134480890773584	0.0057	0.4325	0.8241257740277852
2091	0.8623971579652154	0.0025806258949354257	0.0041	0.4366	0.8211954980698025
2092	0.8640732924080262	0.0016761344428108198	0.0047	0.4413	0.8153636489466222
2093	0.8654129134171196	0.001339621009093319	0.005	0.4463	0.8083042153822315
2094	0.8686925658590151	0.0032796524418955532	0.0034	0.4497	0.8080721122057064
2095	0.8696900398056387	0.0009974739466236662	0.0059	0.4556	0.7986170647755132
2096	0.873460405059327	0.003770365253688197	0.0029	0.4585	0.800295657538839
2097	0.8744174056432029	0.0009570005838759215	0.0058	0.4643	0.7909554136145228
2098	0.8737270842298626	-0.0006903214133403917	0.0058	0.4701	0.778438132496135
2099	0.8730917688266902	-0.0006353154031724271	0.0059	0.476	0.7658340756414629
2100	0.8724531397338692	-0.0006386290928209928	0.0058	0.4818	0.7534164887086778
