year	mean_85	min_85	max_85	mean_45	min_45	max_45	mean_26	min_26	max_26
2041	0.2126	0.1291	0.3006	0.1972	0.1214	0.2769	0.1952	0.112	0.2822
2042	0.221	0.1352	0.3117	0.2022	0.1235	0.2851	0.2	0.1148	0.2893
2043	0.2294	0.1414	0.3227	0.2072	0.1256	0.2932	0.2049	0.1175	0.2963
2044	0.2379	0.1475	0.3337	0.2122	0.1277	0.3013	0.2097	0.1202	0.3034
2045	0.2463	0.1536	0.3447	0.2172	0.1297	0.3095	0.2145	0.123	0.3105
2046	0.2579	0.1616	0.3605	0.2254	0.1335	0.3223	0.2208	0.1262	0.32
2047	0.2648	0.1662	0.37	0.2322	0.1391	0.3304	0.2256	0.1309	0.3252
2048	0.2725	0.1703	0.3814	0.2385	0.1439	0.3385	0.2319	0.1362	0.3326
2049	0.2799	0.1721	0.3948	0.2442	0.1462	0.3479	0.2363	0.1376	0.3401
2050	0.2864	0.1725	0.4078	0.251	0.1503	0.3576	0.2416	0.1426	0.3458
2051	0.2925	0.1747	0.4182	0.2582	0.157	0.3655	0.2462	0.1456	0.3521
2052	0.2999	0.1805	0.4275	0.2643	0.1616	0.3732	0.2503	0.1483	0.3578
2053	0.3063	0.1826	0.4387	0.2696	0.1644	0.3813	0.2545	0.1508	0.364
2054	0.3136	0.1859	0.4504	0.2762	0.1688	0.3903	0.2603	0.1554	0.371
2055	0.3208	0.1899	0.4612	0.2835	0.1735	0.4007	0.2656	0.1585	0.3786
2056	0.3287	0.1944	0.4731	0.2898	0.177	0.4098	0.271	0.1621	0.3861
2057	0.339	0.1999	0.4886	0.2952	0.1785	0.4194	0.2774	0.1664	0.3946
2058	0.3476	0.2045	0.5017	0.3009	0.1819	0.4278	0.2817	0.1686	0.4012
2059	0.3562	0.2113	0.5126	0.3082	0.1878	0.4367	0.2863	0.1717	0.4075
2060	0.3658	0.2188	0.5247	0.3135	0.1905	0.4449	0.2913	0.1739	0.4155
2061	0.376	0.2264	0.5381	0.3199	0.1945	0.454	0.2958	0.1762	0.4222
2062	0.3848	0.2307	0.5519	0.3263	0.1977	0.4638	0.2999	0.1765	0.4303
2063	0.3936	0.2361	0.5647	0.333	0.202	0.4733	0.3051	0.1799	0.4374
2064	0.4041	0.2434	0.5791	0.3386	0.2046	0.4822	0.3101	0.1845	0.4429
2065	0.414	0.2488	0.594	0.3451	0.2076	0.4925	0.3147	0.1865	0.4503
2066	0.4247	0.2554	0.6095	0.3508	0.2098	0.502	0.3196	0.188	0.4588
2067	0.4341	0.2623	0.6221	0.3574	0.2129	0.5125	0.3233	0.1891	0.4653
2068	0.4445	0.2708	0.635	0.3644	0.2174	0.5224	0.3287	0.1931	0.4721
2069	0.4545	0.2779	0.6486	0.371	0.2209	0.5322	0.3333	0.1943	0.4804
2070	0.4646	0.2853	0.6622	0.3773	0.2243	0.5419	0.3374	0.1961	0.487
2071	0.4756	0.293	0.6771	0.3824	0.2257	0.551	0.3413	0.1977	0.4933
2072	0.4874	0.3017	0.6929	0.3889	0.2291	0.5609	0.3467	0.2005	0.5014
2073	0.4992	0.3099	0.7091	0.3963	0.2348	0.5703	0.3518	0.2025	0.5097
2074	0.5093	0.3152	0.7249	0.4033	0.2406	0.5788	0.356	0.2034	0.5174
2075	0.5201	0.3217	0.7407	0.4097	0.2446	0.588	0.3605	0.2062	0.5236
2076	0.5315	0.3294	0.7567	0.4174	0.2491	0.5993	0.3657	0.2095	0.5309
2077	0.5423	0.3352	0.7734	0.4233	0.2534	0.6069	0.3707	0.2109	0.5397
2078	0.5529	0.3402	0.7905	0.4297	0.2565	0.617	0.3748	0.2108	0.548
2079	0.5646	0.3473	0.808	0.4364	0.2604	0.6269	0.3795	0.2138	0.5547
