"year","min_slr","mean_slr","max_slr","delta_min_slr","delta_mean_slr","delta_max_slr"
2041,0.1291,0.2126,0.3006,0.0061,0.0084,0.0111
2042,0.1352,0.221,0.3117,0.0061,0.0084,0.0111
2043,0.1414,0.2294,0.3227,0.0062,0.0084,0.011
2044,0.1475,0.2379,0.3337,0.0061,0.0085,0.011
2045,0.1536,0.2463,0.3447,0.0061,0.0084,0.011
2046,0.1616,0.2579,0.3605,0.008,0.0116,0.0158
2047,0.1662,0.2648,0.37,0.0046,0.0069,0.0095
2048,0.1703,0.2725,0.3814,0.0041,0.0077,0.0114
2049,0.1721,0.2799,0.3948,0.0018,0.0074,0.0134
2050,0.1725,0.2864,0.4078,0.0004,0.0065,0.013
2051,0.1747,0.2925,0.4182,0.0022,0.0061,0.0104
2052,0.1805,0.2999,0.4275,0.0058,0.0074,0.0093
2053,0.1826,0.3063,0.4387,0.0021,0.0064,0.0112
2054,0.1859,0.3136,0.4504,0.0033,0.0073,0.0117
2055,0.1899,0.3208,0.4612,0.004,0.0072,0.0108
2056,0.1944,0.3287,0.4731,0.0045,0.0079,0.0119
2057,0.1999,0.339,0.4886,0.0055,0.0103,0.0155
2058,0.2045,0.3476,0.5017,0.0046,0.0086,0.0131
2059,0.2113,0.3562,0.5126,0.0068,0.0086,0.0109
2060,0.2188,0.3658,0.5247,0.0075,0.0096,0.0121
2061,0.2264,0.376,0.5381,0.0076,0.0102,0.0134
2062,0.2307,0.3848,0.5519,0.0043,0.0088,0.0138
2063,0.2361,0.3936,0.5647,0.0054,0.0088,0.0128
2064,0.2434,0.4041,0.5791,0.0073,0.0105,0.0144
2065,0.2488,0.414,0.594,0.0054,0.0099,0.0149
2066,0.2554,0.4247,0.6095,0.0066,0.0107,0.0155
2067,0.2623,0.4341,0.6221,0.0069,0.0094,0.0126
2068,0.2708,0.4445,0.635,0.0085,0.0104,0.0129
2069,0.2779,0.4545,0.6486,0.0071,0.01,0.0136
2070,0.2853,0.4646,0.6622,0.0074,0.0101,0.0136
2071,0.293,0.4756,0.6771,0.0077,0.011,0.0149
2072,0.3017,0.4874,0.6929,0.0087,0.0118,0.0158
2073,0.3099,0.4992,0.7091,0.0082,0.0118,0.0162
2074,0.3152,0.5093,0.7249,0.0053,0.0101,0.0158
2075,0.3217,0.5201,0.7407,0.0065,0.0108,0.0158
2076,0.3294,0.5315,0.7567,0.0077,0.0114,0.016
2077,0.3352,0.5423,0.7734,0.0058,0.0108,0.0167
2078,0.3402,0.5529,0.7905,0.005,0.0106,0.0171
2079,0.3473,0.5646,0.808,0.0071,0.0117,0.0175
2080,0.3526,0.5759,0.8262,0.0053,0.0113,0.0182
2081,0.3576,0.5863,0.8431,0.005,0.0104,0.0169
2082,0.3622,0.5962,0.8594,0.0046,0.0099,0.0163
2083,0.3693,0.6075,0.876,0.0071,0.0113,0.0166
2084,0.3769,0.6189,0.8923,0.0076,0.0114,0.0163
2085,0.3852,0.6308,0.909,0.0083,0.0119,0.0167
2086,0.3918,0.6413,0.9246,0.0066,0.0105,0.0156
2087,0.3986,0.6517,0.94,0.0068,0.0104,0.0154
2088,0.406,0.6625,0.9553,0.0074,0.0108,0.0153
2089,0.413,0.6733,0.9713,0.007,0.0108,0.016
2090,0.4223,0.6856,0.9878,0.0093,0.0123,0.0165
2091,0.429,0.6973,1.0058,0.0067,0.0117,0.018
2092,0.4377,0.7099,1.0238,0.0087,0.0126,0.018
2093,0.4445,0.7218,1.0422,0.0068,0.0119,0.0184
2094,0.451,0.7339,1.0614,0.0065,0.0121,0.0192
2095,0.4578,0.7468,1.0821,0.0068,0.0129,0.0207
2096,0.4613,0.7536,1.0928,0.0035,0.0068,0.0107
2097,0.4683,0.767,1.1143,0.007,0.0134,0.0215
2098,0.4753,0.7805,1.1358,0.007,0.0135,0.0215
2099,0.4823,0.794,1.1573,0.007,0.0135,0.0215
2100,0.4893,0.8074,1.1788,0.007,0.0134,0.0215
