c_flood	c_flood_nourishment	fd	nourishment_frequency	rho_deposit	s_subsidence	slr_select	z_init	scenario	policy	model	crit_year	growth_total	slope_norm_10	est_time	est_crit_year
0.05	0.0	0.2	1	400	0.0027	1	0.4	0		accretionmodel	2101	0.2475385103697431	-0.0127467278612982	43.251066210249846	2144.25106621025
0.05	0.0	0.2	1	400	0.0027	2	0.4	4		accretionmodel	2072	0.0657764009991336	-0.0294512565553635	15.37905932081595	2072.0
0.05	0.0	0.2	1	400	0.0027	3	0.4	8		accretionmodel	2050	-0.1556490503634508	2.220446049250313e-16	9.0	2050.0
0.05	0.0	0.2	1	400	0.005	1	0.4	12		accretionmodel	2101	0.1439979470122873	-0.0174422452434619	11.014026889946388	2112.0140268899463
0.05	0.0	0.2	1	400	0.005	2	0.4	16		accretionmodel	2067	-0.0377641623583222	2.220446049250313e-16	26.0	2067.0
0.05	0.0	0.2	1	400	0.005	3	0.4	20		accretionmodel	2049	-0.2591896137209066	2.220446049250313e-16	8.0	2049.0
0.05	0.0	0.2	1	800	0.0027	1	0.4	24		accretionmodel	2081	-0.0850423597590909	-0.0319690159554163	9.212598815470464	2081.0
0.05	0.0	0.2	1	800	0.0027	2	0.4	28		accretionmodel	2058	-0.2918077794547041	2.220446049250313e-16	17.0	2058.0
0.05	0.0	0.2	1	800	0.0027	3	0.4	32		accretionmodel	2047	-0.5426218682018138	2.220446049250313e-16	6.0	2047.0
0.05	0.0	0.2	1	800	0.005	1	0.4	36		accretionmodel	2073	-0.2041517653257155	-0.0320830492602706	12.404744704580484	2073.0
0.05	0.0	0.2	1	800	0.005	2	0.4	40		accretionmodel	2056	-0.4109171850213286	2.220446049250313e-16	15.0	2056.0
0.05	0.0	0.2	1	800	0.005	3	0.4	44		accretionmodel	2046	-0.6617312737684385	2.220446049250313e-16	5.0	2046.0
0.05	0.0	0.2	1	1200	0.0027	1	0.4	48		accretionmodel	2072	-0.2188665583454323	-0.0295301507537427	14.092167424495232	2072.0
0.05	0.0	0.2	1	1200	0.0027	2	0.4	52		accretionmodel	2055	-0.4350517731502619	2.220446049250313e-16	14.0	2055.0
0.05	0.0	0.2	1	1200	0.0027	3	0.4	56		accretionmodel	2046	-0.6969101738497612	2.220446049250313e-16	5.0	2046.0
0.05	0.0	0.2	1	1200	0.005	1	0.4	60		accretionmodel	2068	-0.3438676704442964	2.220446049250313e-16	27.0	2068.0
0.05	0.0	0.2	1	1200	0.005	2	0.4	64		accretionmodel	2053	-0.5600528852491258	2.220446049250313e-16	12.0	2053.0
0.05	0.0	0.2	1	1200	0.005	3	0.4	68		accretionmodel	2046	-0.8219112859486251	2.220446049250313e-16	5.0	2046.0
0.05	0.0	0.4	1	400	0.0027	1	0.4	216		accretionmodel	2101	0.6857511856702376	-0.0011436016748959	1671.9403764218573	3772.940376421857
0.05	0.0	0.4	1	400	0.0027	1	0.7	217		accretionmodel	2101	0.4713796949598313	-0.0038135444346981	297.43794449617445	2398.4379444961746
0.05	0.0	0.4	1	400	0.0027	1	1.2	218		accretionmodel	2101	0.114895384830005	-0.0050879366588729	149.7428752339636	2250.742875233964
0.05	0.0	0.4	1	400	0.0027	1	1.7	219		accretionmodel	2101	-0.2295495755909929	-0.0056569689610201	110.65196990903708	2211.651969909037
0.05	0.0	0.4	1	400	0.0027	2	0.4	220		accretionmodel	2101	0.5423046295648583	-0.0385533143030943	15.467495822997126	2116.467495822997
0.05	0.0	0.4	1	400	0.0027	2	0.7	221		accretionmodel	2101	0.3278740699052538	-0.0206792583512434	20.67775818231175	2121.677758182312
0.05	0.0	0.4	1	400	0.0027	2	1.2	222		accretionmodel	2101	-0.0292007129173164	-0.0139240133889601	26.15347569040976	2127.15347569041
0.05	0.0	0.4	1	400	0.0027	2	1.7	223		accretionmodel	2101	-0.3788094204780934	-0.0116445856530503	29.778252481667657	2130.778252481668
0.05	0.0	0.4	1	400	0.0027	3	0.4	224		accretionmodel	2075	0.3661918090825056	-0.0357355073907439	18.58268599410325	2075.0
0.05	0.0	0.4	1	400	0.0027	3	0.7	225		accretionmodel	2083	0.1517536370794492	-0.0268444797947926	14.80935086312324	2083.0
0.05	0.0	0.4	1	400	0.0027	3	1.2	226		accretionmodel	2093	-0.2055563017309836	-0.0246429729172592	8.951913758126214	2093.0
0.05	0.0	0.4	1	400	0.0027	3	1.7	227		accretionmodel	2099	-0.5580349158959	-0.0176161812144261	11.108079900229768	2099.0
0.05	0.0	0.4	1	400	0.005	1	0.4	228		accretionmodel	2101	0.6058106657038338	-0.0035439877922154	470.67560192494153	2571.675601924941
0.05	0.0	0.4	1	400	0.005	1	0.7	229		accretionmodel	2101	0.3913920894978766	-0.0050699715372417	198.24934941329695	2299.249349413297
0.05	0.0	0.4	1	400	0.005	1	1.2	230		accretionmodel	2101	0.0345217631831349	-0.0057940223320071	118.94569908859457	2219.9456990885947
0.05	0.0	0.4	1	400	0.005	1	1.7	231		accretionmodel	2101	-0.3136578206392423	-0.0061526035829373	93.15346463156747	2194.153464631568
0.05	0.0	0.4	1	400	0.005	2	0.4	232		accretionmodel	2101	0.4623740940235544	-0.0422523717766862	5.81031701462881	2106.8103170146287
0.05	0.0	0.4	1	400	0.005	2	0.7	233		accretionmodel	2101	0.2479379182545025	-0.0222136989495345	12.325233139516357	2113.3252331395165
0.05	0.0	0.4	1	400	0.005	2	1.2	234		accretionmodel	2101	-0.1093072743197965	-0.0147025746370737	19.3532511137538	2120.3532511137537
0.05	0.0	0.4	1	400	0.005	2	1.7	235		accretionmodel	2101	-0.4607943341214251	-0.0121537753353667	24.01534917090742	2125.0153491709075
0.05	0.0	0.4	1	400	0.005	3	0.4	236		accretionmodel	2071	0.2862626013117209	-0.0276520505065496	21.79303768437559	2071.0
0.05	0.0	0.4	1	400	0.005	3	0.7	237		accretionmodel	2080	0.0718244293086644	-0.0294755790135486	12.877668979525168	2080.0
0.05	0.0	0.4	1	400	0.005	3	1.2	238		accretionmodel	2090	-0.2855262861729029	-0.0243208582658611	9.093933457215684	2090.0
0.05	0.0	0.4	1	400	0.005	3	1.7	239		accretionmodel	2097	-0.6389471160747557	-0.019512108817958	9.0273442823563	2097.0
0.05	0.0	0.4	1	800	0.0027	1	0.4	240		accretionmodel	2101	0.2475385103697431	-0.0127467278612982	43.251066210249846	2144.25106621025
0.05	0.0	0.4	1	800	0.0027	1	0.7	241		accretionmodel	2101	0.1082834416581466	-0.0092631959274307	59.1968425013609	2160.196842501361
0.05	0.0	0.4	1	800	0.0027	1	1.2	242		accretionmodel	2101	-0.1237194389578749	-0.0077095296030316	70.96620522247173	2171.966205222472
0.05	0.0	0.4	1	800	0.0027	1	1.7	243		accretionmodel	2101	-0.3487182173214334	-0.007152767869644	77.01451439921614	2178.0145143992163
0.05	0.0	0.4	1	800	0.0027	2	0.4	244		accretionmodel	2072	0.0657764009991336	-0.0294512565553635	15.37905932081595	2072.0
0.05	0.0	0.4	1	800	0.0027	2	0.7	245		accretionmodel	2088	-0.073478667712463	-0.0266175895213173	9.854922828438252	2088.0
0.05	0.0	0.4	1	800	0.0027	2	1.2	246		accretionmodel	2101	-0.3055395912910563	-0.0178916943665691	4.929540736681127	2105.929540736681
0.05	0.0	0.4	1	800	0.0027	2	1.7	247		accretionmodel	2101	-0.5330346072151807	-0.0139188293596628	17.46649219413244	2118.466492194133
0.05	0.0	0.4	1	800	0.0027	3	0.4	248		accretionmodel	2050	-0.1556490503634508	2.220446049250313e-16	9.0	2050.0
0.05	0.0	0.4	1	800	0.0027	3	0.7	249		accretionmodel	2067	-0.2949041190750475	2.220446049250313e-16	26.0	2067.0
0.05	0.0	0.4	1	800	0.0027	3	1.2	250		accretionmodel	2082	-0.5269819662763273	-0.0247879256458546	11.622373568874089	2082.0
0.05	0.0	0.4	1	800	0.0027	3	1.7	251		accretionmodel	2093	-0.7558632428479989	-0.0221573415015769	9.330067686124416	2093.0
0.05	0.0	0.4	1	800	0.005	1	0.4	252		accretionmodel	2101	0.1439979470122873	-0.0174422452434619	11.014026889946388	2112.0140268899463
0.05	0.0	0.4	1	800	0.005	1	0.7	253		accretionmodel	2101	0.0047428783006908	-0.0115567406012553	32.17425982675543	2133.174259826756
0.05	0.0	0.4	1	800	0.005	1	1.2	254		accretionmodel	2101	-0.2273060466874373	-0.0089481412606133	50.46103624097445	2151.4610362409744
